学校代号,学校名称,专业代号,专业名称,计划数,分数线,位次
1103,北京大学,1,工商管理类,1,721,2
1103,北京大学,5,理科试验班类（元培）,2,721,3
1147,清华大学,2,文科试验班类（通用基础类）,2,711,35
1104,北京大学医学部,4,口腔医学,1,709,51
1147,清华大学,3,临床医学类,5,708,59
1103,北京大学,2,文科试验班类（文科基础类专业）,6,707,69
1103,北京大学,6,理科试验班类（理科基础类专业）,22,707,78
1147,清华大学,1,理科试验班类（物理基础类）,22,707,81
3131,上海交通大学,5,计算机科学与技术（ACM班，致远理科荣誉计划）,1,706,90
1189,中国科学院大学,1,人工智能,1,704,125
1104,北京大学医学部,2,临床医学,5,703,162
3131,上海交通大学,2,电子信息类（IEEE试点班，含双学士学位项目）,4,703,153
1,浙江大学,19,工科试验班（竺可桢学院图灵班）,3,702,200
1104,北京大学医学部,3,临床医学,1,702,183
1104,北京大学医学部,5,口腔医学,1,702,185
3131,上海交通大学,1,人工智能（卓越人才试点班）,4,702,178
1,浙江大学,17,人工智能（荣誉项目班）,2,701,227
1104,北京大学医学部,1,基础医学,2,701,232
3102,复旦大学,9,理科试验班（相辉学堂相辉计划）,4,701,222
3132,上海交通大学医学院,1,临床医学,3,701,238
3132,上海交通大学医学院,2,临床医学（法语班）,1,701,241
1,浙江大学,18,机器人工程（荣誉项目班）,2,700,259
1104,北京大学医学部,7,药学,2,700,257
1104,北京大学医学部,8,英语（医学英语）,2,700,277
1189,中国科学院大学,2,计算机科学与技术,3,700,284
1104,北京大学医学部,6,预防医学,1,699,311
3102,复旦大学,8,经济学类（拔尖班）,3,699,293
3132,上海交通大学医学院,3,临床医学（口腔方向）,1,699,301
3171,复旦大学医学院,1,临床医学（卓越医生计划）,4,699,329
1159,中国人民大学,18,金融学（金融学与数学双主学位项目）,1,698,335
1159,中国人民大学,19,金融学（金融学与大数据技术双主学位项目）,1,698,334
1159,中国人民大学,4,法学,5,697,424
3102,复旦大学,6,人文科学试验班（拔尖学生培养基地）,3,697,437
1,浙江大学,20,医学试验班（竺可桢学院巴德年医学班）,23,695,566
3240,南京大学,8,人工智能,5,695,593
1,浙江大学,6,社会科学试验班（竺可桢学院人文社科实验班）,5,694,639
1159,中国人民大学,2,财政学类,2,694,609
1159,中国人民大学,8,人工智能（拔尖班）,3,694,654
1,浙江大学,8,社会科学试验班（智能财务荣誉项目班）,3,692,840
1159,中国人民大学,3,新闻传播学类,5,692,835
1159,中国人民大学,9,统计学类,5,692,822
1159,中国人民大学,15,金融学类,5,692,808
1159,中国人民大学,17,计算机类（图灵实验班）,4,692,819
1159,中国人民大学,22,政治学、经济学与哲学（PPE实验班）,2,692,806
259,浙江大学医学院,1,临床医学（5+3一体化培养）,18,691,876
4055,武汉大学,25,计算机科学与技术（雷军班）,1,691,861
5120,四川大学,27,口腔医学（八年制）,2,691,902
1116,北京航空航天大学,1,计算机科学与技术（拔尖学生培养计划）,1,690,1023
3240,南京大学,7,计算机科学与技术,6,690,998
4436,中山大学,7,临床医学,2,690,963
1116,北京航空航天大学,4,工科试验班类（未来空天领军计划）,2,689,1106
4034,华中科技大学,26,临床医学（八年制）,4,689,1074
5120,四川大学,26,口腔医学（5+3一体化）,2,689,1129
1,浙江大学,7,社会科学试验班（数字法治卓越班）,4,688,1172
1,浙江大学,16,工科试验班（信息）,246,687,1273
1159,中国人民大学,1,人文科学试验班,4,687,1277
1159,中国人民大学,7,人力资源管理（经管交叉试验班，含法学与劳动治理实验班）,2,687,1355
1159,中国人民大学,13,经济学类,10,687,1306
3240,南京大学,9,理科试验班（匡亚明学院大理科班）,5,687,1348
4424,华南理工大学,6,电气工程及其自动化（卓越班）,1,687,1336
5120,四川大学,23,临床医学（八年制）,2,687,1267
1116,北京航空航天大学,8,微电子科学与工程（卓越人才培养试验班）,1,686,1507
1151,首都医科大学,1,临床医学（阶平班）,2,686,1480
1159,中国人民大学,12,社会科学试验班（管理学科类）,2,686,1526
1159,中国人民大学,14,工商管理类（数智化方向，含双学位项目）,10,686,1450
3240,南京大学,6,软件工程（国家特色化软件学院实验班）,5,686,1408
3240,南京大学,11,金融工程（计算机金融实验班）,2,686,1426
259,浙江大学医学院,2,口腔医学（5+3一体化培养）,17,685,1564
1116,北京航空航天大学,2,数学与应用数学（拔尖学生培养计划）,1,685,1542
1116,北京航空航天大学,9,人工智能（卓越人才培养试验班）,2,685,1622
1159,中国人民大学,6,国际政治,3,685,1600
2309,哈尔滨工业大学,1,工科试验班（院士特色班、未来技术拔尖班）,3,685,1613
