科类代码,科类名称,院校代码,院校名称,专业代码,专业名称,计划数,综合分,位次号
4,体育类,3105,华东师范大学,48,体育学类,2,661,4-00009
4,体育类,3105,华东师范大学,47,体育教育(师范),5,653,4-00020
4,体育类,1,浙江大学,24,体育教育,25,646,4-00035
4,体育类,3281,苏州大学,30,体育教育(师范),2,646,4-00038
4,体育类,1132,北京体育大学,4,体能训练,2,640,4-00047
4,体育类,3259,南京师范大学,4,体育教育(师范),4,638,4-00055
4,体育类,1132,北京体育大学,1,体育教育,16,636,4-00060
4,体育类,1132,北京体育大学,2,休闲体育,1,635,4-00065
4,体育类,1132,北京体育大学,3,社会体育指导与管理,1,635,4-00067
4,体育类,20,杭州师范大学,19,体育教育(师范),1,635,4-00067
4,体育类,2220,吉林大学,5,社会体育指导与管理,2,633,4-00076
4,体育类,3148,上海体育大学,9,体育学类,6,633,4-00080
4,体育类,3646,南昌大学,23,体育教育(师范),10,629,4-00102
4,体育类,3259,南京师范大学,5,社会体育指导与管理,14,627,4-00115
4,体育类,4093,中国地质大学(武汉),29,社会体育指导与管理,2,624,4-00126
4,体育类,5314,云南大学,11,体育教育,2,624,4-00134
4,体育类,3315,中国矿业大学,26,社会体育指导与管理,4,622,4-00147
4,体育类,1117,北京化工大学,9,社会体育指导与管理,4,620,4-00164
4,体育类,6102,长安大学,34,社会体育指导与管理,2,619,4-00169
4,体育类,4,浙江师范大学,19,体育教育(师范),141,610,4-00271
4,体育类,3145,上海师范大学,14,体育教育(师范),8,605,4-00350
4,体育类,3511,福建师范大学,12,体育教育(师范),5,604,4-00365
4,体育类,5,宁波大学,17,体育教育(师范),90,603,4-00384
4,体育类,1415,太原理工大学,25,体育教育,10,601,4-00406
4,体育类,4342,湖南师范大学,35,体育教育(中外合作办学)(师范),6,599,4-00461
4,体育类,1132,北京体育大学,3,社会体育指导与管理,1,599,4-00453
4,体育类,20,杭州师范大学,19,体育教育(师范),140,597,4-00485
4,体育类,4079,武汉体育学院,1,体育教育,2,597,4-00514
4,体育类,5106,成都体育学院,1,体育教育(师范),2,597,4-00506
4,体育类,1404,山西大学,25,体育教育,5,595,4-00545
4,体育类,3301,江苏师范大学,18,体育教育(师范),5,594,4-00584
4,体育类,24,温州大学,13,体育教育(师范),100,593,4-00604
4,体育类,3276,南通大学,18,体育教育(师范),2,593,4-00608
4,体育类,3748,山东师范大学,5,体育教育(师范),4,593,4-00594
4,体育类,3605,华东交通大学,25,体育教育(师范),2,592,4-00634
4,体育类,4001,长江大学,27,体育教育(师范),1,592,4-00629
4,体育类,5131,四川师范大学,36,体育教育,3,592,4-00626
4,体育类,1421,山西师范大学,4,体育教育(师范),1,591,4-00637
4,体育类,3511,福建师范大学,8,足球运动,3,591,4-00653
4,体育类,20,杭州师范大学,20,休闲体育,30,590,4-00663
4,体育类,5027,重庆师范大学,5,体育教育(师范),7,590,4-00665
4,体育类,4513,广西师范大学,17,体育教育(师范),1,589,4-00716
4,体育类,1234,天津体育学院,1,体育教育,8,587,4-00765
4,体育类,3276,南通大学,29,社会体育指导与管理,2,587,4-00761
4,体育类,3511,福建师范大学,17,体育教育(中外合作办学)（中意合作）(师范),6,587,4-00752
4,体育类,3227,江苏科技大学,1,体育学类,4,586,4-00794
4,体育类,4011,湖北大学,4,社会体育指导与管理,7,585,4-00801
4,体育类,22,绍兴文理学院,40,体育教育(师范),80,584,4-00848
4,体育类,24,温州大学,14,休闲体育,52,583,4-00880
4,体育类,3607,江西财经大学,5,社会体育指导与管理,2,582,4-00908
4,体育类,3637,江西中医药大学,14,运动康复,2,582,4-00907
4,体育类,5106,成都体育学院,2,社会体育指导与管理,2,582,4-00913
4,体育类,17,嘉兴大学,39,体育教育(师范),30,581,4-00937
4,体育类,21,湖州师范学院,35,体育教育(师范),107,581,4-00927
4,体育类,3222,常州大学,3,休闲体育,2,580,4-00972
4,体育类,4001,长江大学,28,社会体育指导与管理,1,580,4-00977
4,体育类,4079,武汉体育学院,2,休闲体育（高尔夫）,2,580,4-00958
4,体育类,4330,湖南科技大学,61,体育教育(师范),3,580,4-00952
4,体育类,4335,湖南农业大学,43,体育教育(师范),10,579,4-00998
4,体育类,5109,成都大学,7,社会体育指导与管理,5,579,4-01007
4,体育类,5131,四川师范大学,37,社会体育指导与管理,3,579,4-01000
4,体育类,6137,西安体育学院,1,体育教育(师范),6,579,4-00995
4,体育类,3619,江西科技师范大学,30,体育教育(师范),4,578,4-01030
4,体育类,5106,成都体育学院,4,体能训练,2,578,4-01033
4,体育类,5321,云南师范大学,11,社会体育指导与管理,2,578,4-01043
4,体育类,5106,成都体育学院,3,休闲体育,2,577,4-01049
4,体育类,2234,吉林师范大学,4,体育教育(师范),4,576,4-01099
4,体育类,23,台州学院,35,体育教育(师范),135,575,4-01123
4,体育类,3264,南京体育学院,1,社会体育指导与管理,10,575,4-01126
4,体育类,3603,赣南师范大学,34,体育教育(师范),8,575,4-01121
4,体育类,6137,西安体育学院,3,运动康复,2,575,4-01130
4,体育类,3537,泉州师范学院,33,体育教育(师范),4,574,4-01161
4,体育类,3622,江西理工大学,24,社会体育指导与管理,2,574,4-01152
4,体育类,4333,湖南理工学院,14,体育教育(师范),3,574,4-01156
4,体育类,4335,湖南农业大学,44,社会体育指导与管理,7,574,4-01166
4,体育类,3619,江西科技师范大学,7,社会体育指导与管理,1,573,4-01184
4,体育类,3640,井冈山大学,6,体育教育(师范),6,573,4-01182
4,体育类,38,丽水学院,6,体育教育(师范),92,572,4-01245
4,体育类,1421,山西师范大学,5,社会体育指导与管理,1,572,4-01251
4,体育类,3263,南京特殊教育师范学院,20,体育教育(师范),2,572,4-01221
4,体育类,3604,赣南医科大学,26,运动康复,3,572,4-01254
4,体育类,4513,广西师范大学,20,体育教育(中外合作办学)(师范),7,572,4-01235
4,体育类,6137,西安体育学院,2,社会体育指导与管理(师范),2,572,4-01256
4,体育类,6137,西安体育学院,5,体能训练,2,572,4-01255
4,体育类,1234,天津体育学院,3,社会体育指导与管理,8,571,4-01273
4,体育类,2231,吉林农业大学,17,体育教育,6,571,4-01280
4,体育类,3644,九江学院,7,体育教育(师范),3,571,4-01284
4,体育类,3652,豫章师范学院,3,体育教育(师范),3,571,4-01261
4,体育类,3654,上饶师范学院,14,体育教育(师范),6,571,4-01272
4,体育类,3653,萍乡学院,19,体育教育(师范),3,570,4-01306
4,体育类,3657,宜春学院,41,体育教育(师范),3,570,4-01308
4,体育类,4607,海南师范大学,20,社会体育指导与管理（高尔夫运动与管理方向）,3,570,4-01303
4,体育类,5025,重庆三峡学院,25,体育教育(师范),5,570,4-01295
4,体育类,5204,贵州医科大学,7,社会体育指导与管理,1,570,4-01300
4,体育类,2317,哈尔滨体育学院,1,体育教育,2,569,4-01338
4,体育类,3602,赣东学院,21,体育教育,2,569,4-01334
4,体育类,4333,湖南理工学院,15,社会体育指导与管理,3,569,4-01354
4,体育类,4361,湘南学院,18,体育教育(师范),4,569,4-01350
4,体育类,5310,曲靖师范学院,5,体育教育(师范),2,569,4-01339
4,体育类,6107,陕西理工大学,19,体育教育(师范),15,569,4-01337
4,体育类,1234,天津体育学院,2,休闲体育,6,568,4-01388
4,体育类,2237,吉林体育学院,1,体育教育(师范),9,568,4-01375
4,体育类,3537,泉州师范学院,34,社会体育指导与管理,4,568,4-01390
4,体育类,3710,聊城大学,4,运动康复,4,568,4-01413
4,体育类,4241,郑州轻工业大学,30,社会体育指导与管理,3,568,4-01372
4,体育类,4247,周口师范学院,21,体育教育(师范),4,568,4-01393
4,体育类,4355,怀化学院,13,体育教育(师范),9,568,4-01394
4,体育类,4360,邵阳学院,7,体育教育(师范),2,568,4-01382
4,体育类,6141,西安文理学院,13,体育教育(师范),7,568,4-01392
4,体育类,1506,内蒙古科技大学包头师范学院,6,体育教育(师范),2,567,4-01422
4,体育类,2217,东北电力大学,22,社会体育指导与管理,5,567,4-01421
4,体育类,6137,西安体育学院,4,休闲体育,4,567,4-01444
4,体育类,121,湖州学院,4,社会体育指导与管理,65,566,4-01466
4,体育类,1417,运城学院,9,体育教育(师范),12,566,4-01449
4,体育类,1421,山西师范大学,14,体育旅游,1,566,4-01458
4,体育类,3441,池州学院,10,社会体育指导与管理,2,566,4-01477
4,体育类,3441,池州学院,11,休闲体育,2,566,4-01480
4,体育类,3656,新余学院,2,社会体育指导与管理,2,566,4-01475
4,体育类,4613,海南热带海洋学院,30,社会体育指导与管理,2,566,4-01478
4,体育类,2237,吉林体育学院,2,社会体育指导与管理,12,565,4-01514
4,体育类,4613,海南热带海洋学院,31,休闲体育,3,565,4-01518
4,体育类,2237,吉林体育学院,4,休闲体育,6,564,4-01537
4,体育类,3620,南昌应用技术师范学院,12,体育教育,2,564,4-01551
4,体育类,4113,武汉体育学院体育科技学院,1,体育教育,5,564,4-01553
4,体育类,4603,三亚学院,64,休闲体育,1,564,4-01540
4,体育类,5122,四川大学锦江学院,13,体育教育,4,563,4-01573
4,体育类,94,宁波大学科学技术学院,24,社会体育指导与管理,70,562,4-01606
4,体育类,1304,燕京理工学院,1,体育教育,2,562,4-01611
4,体育类,3650,南昌航空大学科技学院,17,休闲体育,2,562,4-01609
4,体育类,4073,武汉华夏理工学院,27,体育教育,2,562,4-01617
4,体育类,5136,成都外国语学院,3,体育教育,1,562,4-01627
4,体育类,4603,三亚学院,65,休闲体育（康体与抗衰老）,1,562,4-01630
4,体育类,3512,福建师范大学协和学院,5,休闲体育,5,561,4-01640
4,体育类,3526,集美大学诚毅学院,6,社会体育指导与管理,8,561,4-01662
4,体育类,6134,西安培华学院,18,体育教育,10,561,4-01647
4,体育类,3610,江西应用科技学院,27,体育教育,10,560,4-01692
4,体育类,3621,江西科技学院,34,体育教育,15,560,4-01677
4,体育类,38,丽水学院,70,体育教育（少数民族班）(师范),8,559,4-01727
4,体育类,4073,武汉华夏理工学院,28,休闲体育,2,559,4-01712
4,体育类,5136,成都外国语学院,4,休闲体育,8,559,4-01719
4,体育类,5226,贵阳信息科技学院,1,休闲体育,5,559,4-01734
4,体育类,1211,天津仁爱学院,32,休闲体育,7,557,4-01783
4,体育类,4452,广东理工学院,10,社会体育指导与管理,3,557,4-01801
4,体育类,6408,宁夏理工学院,35,体育教育,8,557,4-01770
4,体育类,4603,三亚学院,64,休闲体育,3,556,4-01821
4,体育类,3682,赣州师范高等专科学校,504,体育教育(师范),2,555,4-01851
4,体育类,5315,滇池学院,8,社会体育指导与管理,11,555,4-01837
4,体育类,5108,成都银杏酒店管理学院,5,体育学类,10,554,4-01876
4,体育类,5315,滇池学院,9,休闲体育,4,554,4-01887
4,体育类,6520,新疆和田学院,516,体育教育(师范),1,554,4-01892
4,体育类,126,温州商学院,17,休闲体育,85,553,4-01933
4,体育类,4091,汉江师范学院,512,体育教育(师范),5,553,4-01938
4,体育类,61,金华职业技术大学,529,体育运营与管理,30,552,4-01973
4,体育类,4603,三亚学院,65,休闲体育（康体与抗衰老）,5,552,4-01943
4,体育类,4603,三亚学院,66,休闲体育（高尔夫）,3,552,4-01957
4,体育类,3620,南昌应用技术师范学院,511,体育保健与康复,1,552,4-01942
4,体育类,1150,首都师范大学科德学院,8,体育教育,6,550,4-02022
4,体育类,1366,唐山幼儿师范高等专科学校,504,体育教育(师范),1,550,4-02038
4,体育类,3620,南昌应用技术师范学院,510,社会体育,1,550,4-02049
4,体育类,3620,南昌应用技术师范学院,511,体育保健与康复,1,550,4-02048
4,体育类,3682,赣州师范高等专科学校,509,运动训练,2,550,4-02030
4,体育类,4601,海口经济学院,20,休闲体育（网球）,2,550,4-02024
4,体育类,1150,首都师范大学科德学院,8,体育教育,2,550,4-02037
4,体育类,49,浙江旅游职业学院,511,休闲体育,20,549,4-02076
4,体育类,4087,咸宁职业技术学院,514,体育教育(师范),14,549,4-02084
4,体育类,3614,南昌工学院,512,社会体育,2,549,4-02087
4,体育类,71,衢州职业技术学院,533,体育运营与管理,7,548,4-02111
4,体育类,4601,海口经济学院,20,休闲体育（网球）,2,548,4-02117
4,体育类,71,衢州职业技术学院,532,休闲体育,7,547,4-02144
4,体育类,3614,南昌工学院,512,社会体育,17,545,4-02230
4,体育类,72,丽水职业技术学院,530,社会体育,35,542,4-02331
4,体育类,3805,上饶幼儿师范高等专科学校,502,体育教育(师范),2,541,4-02361
4,体育类,3697,抚州幼儿师范高等专科学校,501,体育教育(师范),5,540,4-02401
4,体育类,4469,广州华立科技职业学院,508,体育教育,3,539,4-02444
