科类方向代码,科类方向名称,院校代码,院校名称,专业代码,专业名称,计划数,综合分,位次号
B,美术与设计类,3165,同济大学,10,设计学类,4,662,B-00008
B,美术与设计类,3105,华东师范大学,51,美术学（美教）(师范),2,660,B-00010
G,播音与主持类,3105,华东师范大学,49,播音与主持艺术,2,660,G-00003
B,美术与设计类,1,浙江大学,25,艺术与科技,7,652,B-00024
B,美术与设计类,1116,北京航空航天大学,14,设计学类,2,644,B-00037
B,美术与设计类,1130,北京师范大学,5,数字媒体艺术,2,642,B-00051
G,播音与主持类,4055,武汉大学,37,播音与主持艺术,2,642,G-00005
B,美术与设计类,3131,上海交通大学,4,视觉传达设计,15,641,B-00055
B,美术与设计类,3165,同济大学,11,动画,3,640,B-00056
B,美术与设计类,1,浙江大学,26,美术学,7,639,B-00060
Cd,音乐类音乐教育声乐主项,3105,华东师范大学,56,音乐学（音教）(师范),1,639,Cd00001
B,美术与设计类,1159,中国人民大学,16,绘画,2,638,B-00063
B,美术与设计类,3105,华东师范大学,52,美术学,5,637,B-00069
B,美术与设计类,1127,北京理工大学,7,设计学类,6,634,B-00082
B,美术与设计类,3105,华东师范大学,53,设计学类,8,634,B-00083
B,美术与设计类,3131,上海交通大学,3,环境设计,5,634,B-00090
B,美术与设计类,3206,东南大学,7,设计学类,6,632,B-00101
B,美术与设计类,3281,苏州大学,38,数字媒体艺术,2,631,B-00108
B,美术与设计类,3281,苏州大学,31,美术学(师范),1,630,B-00112
G,播音与主持类,5011,重庆大学,12,播音与主持艺术,6,630,G-00013
B,美术与设计类,3543,厦门大学,27,绘画,5,629,B-00122
Ca,音乐类音乐表演器乐方向,3165,同济大学,12,音乐表演（钢琴）,2,629,Ca00002
B,美术与设计类,2309,哈尔滨工业大学,5,数字媒体艺术,5,628,B-00128
B,美术与设计类,2309,哈尔滨工业大学,7,产品设计,5,626,B-00153
B,美术与设计类,3101,东华大学,8,数字媒体艺术,3,626,B-00147
B,美术与设计类,3281,苏州大学,32,美术学,1,626,B-00152
B,美术与设计类,4424,华南理工大学,22,产品设计,6,625,B-00170
G,播音与主持类,3281,苏州大学,12,播音与主持艺术,4,625,G-00024
G,播音与主持类,4428,暨南大学,2,播音与主持艺术（普通话）,2,625,G-00025
B,美术与设计类,1140,北京邮电大学,9,数字媒体艺术,5,623,B-00194
B,美术与设计类,3112,上海大学,28,数字媒体艺术,2,623,B-00185
Eb,表(导)演类服装表演方向,3101,东华大学,11,表演（服装表演）,1,623,Eb00001
B,美术与设计类,3731,山东大学,42,视觉传达设计,2,622,B-00195
B,美术与设计类,4072,武汉理工大学,25,动画,2,622,B-00207
Ec,表(导)演类戏剧影视导演方向,4428,暨南大学,14,戏剧影视导演,1,622,Ec00008
B,美术与设计类,2309,哈尔滨工业大学,6,环境设计,4,621,B-00227
B,美术与设计类,3112,上海大学,26,视觉传达设计,2,621,B-00219
B,美术与设计类,3216,江南大学,51,数字媒体艺术,10,621,B-00220
B,美术与设计类,3281,苏州大学,34,视觉传达设计,4,621,B-00221
B,美术与设计类,5120,四川大学,31,设计学类,6,621,B-00230
B,美术与设计类,3216,江南大学,48,产品设计,5,620,B-00238
G,播音与主持类,3259,南京师范大学,7,播音与主持艺术,3,620,G-00030
B,美术与设计类,3731,山东大学,43,产品设计,4,619,B-00248
B,美术与设计类,4365,中南大学,27,艺术与科技,8,619,B-00257
Cc,音乐类音乐教育器乐主项,3105,华东师范大学,54,音乐学（音教）(师范),2,619,Cc00003
B,美术与设计类,1154,中国地质大学(北京),29,产品设计,1,618,B-00276
B,美术与设计类,5011,重庆大学,15,设计学类,6,618,B-00267
B,美术与设计类,3216,江南大学,46,视觉传达设计,8,617,B-00286
B,美术与设计类,5011,重庆大学,16,绘画,2,617,B-00284
B,美术与设计类,3101,东华大学,9,艺术与科技,4,616,B-00303
B,美术与设计类,3112,上海大学,29,艺术与科技,1,616,B-00306
Ea,表(导)演类戏剧影视表演方向,3165,同济大学,14,表演（影视表演）,3,616,Ea00005
B,美术与设计类,1134,北京舞蹈学院,11,戏剧影视美术设计（舞台灯光设计）,1,615,B-00324
B,美术与设计类,3101,东华大学,1,视觉传达设计,11,615,B-00314
B,美术与设计类,3112,上海大学,31,产品设计,2,615,B-00323
B,美术与设计类,3259,南京师范大学,28,美术学类,6,615,B-00326
B,美术与设计类,3281,苏州大学,33,艺术设计学,2,615,B-00315
B,美术与设计类,4424,华南理工大学,21,环境设计,5,615,B-00312
G,播音与主持类,3209,河海大学,33,播音与主持艺术,3,615,G-00037
G,播音与主持类,4342,湖南师范大学,5,播音与主持艺术,2,615,G-00040
B,美术与设计类,3101,东华大学,4,产品设计,8,614,B-00339
B,美术与设计类,3281,苏州大学,36,产品设计,6,614,B-00342
